Timestamp,What do you have for breakfast most weekdays?,(Optional) Anything else you'd like to add?
12/2/2024 12:37:35,ğŸ³ I prepare/cook something (includes night before),"Changes every few weeks---right now it's eggs & rice & kimchi! Cooking is often the most relaxing part of my day, so it's nice to spend time in the morning making something that tastes & feels good."
12/2/2024 12:47:14,ğŸ³ I prepare/cook something (includes night before),"I do a lot of freezer meals for breakfast - breakfast burritos, quiches, muffins. "
12/2/2024 12:50:24,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/2/2024 12:51:56,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",oatmeal is my friend!
12/2/2024 12:59:49,â˜•ï¸ Nothing / just coffee,"If Iâ€™m being honest- most days are coffee. But I *intend* to eat breakfast every morning. When I do itâ€™s minimal. Maybe I actually should prep breakfast so that itâ€™s easier, psychologically, to get myself to eat it ğŸ«¢"
12/2/2024 13:22:05,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/2/2024 13:31:07,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","If not for health reasons, I would be making some form of bacon egg and cheese breakfast sandwich every day."
12/2/2024 13:35:11,ğŸ³ I prepare/cook something (includes night before),"I cook two eggs and toast a slice of bread, and have pretty much done this continuously since early high school. I generally find cooking pretty intimidating, but I've done this so often that it feels very straightforward and doesn't take that long, and I consistently enjoy eating it which is cool."
12/2/2024 13:37:57,ğŸ³ I prepare/cook something (includes night before),
12/2/2024 13:38:02,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Meal prep FTW!
12/2/2024 13:39:27,ğŸ³ I prepare/cook something (includes night before),
12/2/2024 13:55:31,ğŸ³ I prepare/cook something (includes night before),"It's not the most important meal but making oatmeal or toast or fancy yogurt really makes the day feel more handle-able! I usually make a fancy hot cereal with honey, yogurt with granola and fruit, or a fancy nut butter toast situation. Sometimes when we have time it's an omelette or pancakes or hash browns situation."
12/2/2024 14:05:28,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","Strong feelings that I need to eat something, but it can't be too much. "
12/2/2024 14:13:10,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","I've definitely been through periods in my life where I cooked myself a full breakfast every morning, usually when under/unemployed or working primarily evenings. Tamago kake gohan has been a favorite of mine for a ""cooked"" breakfast which is fast, hot, and delicious"
12/2/2024 14:17:35,ğŸ³ I prepare/cook something (includes night before),"Breakfast impt! When on top of my shit I prepare a batch of smoothie or grits every few days, when not am reduced to cook"
12/2/2024 17:33:37,ğŸ³ I prepare/cook something (includes night before),
12/2/2024 17:55:43,ğŸ³ I prepare/cook something (includes night before),"I canâ€™t get by without it. We make a smoothie right now, so thatâ€™s more than microwaving something but not really cooking. We used to alternate between oatmeal in the winter and smoothie in the summer but for the past year and a half itâ€™s been smoothie szn "
12/2/2024 18:00:42,ğŸ³ I prepare/cook something (includes night before),"Fried potato cubes, potato, smoothie, coffee w/cream"
12/2/2024 19:29:24,â˜•ï¸ Nothing / just coffee,"If I was prepared/motivated, I'd have avocado slices on a just egg patty with cholula hot sauce and slice of sourdough toast. But I usually never eat :) "
12/2/2024 19:35:13,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",High protein fortified cereal with Physivantage plant-based protein and collagen alternative in creamy oat milk. There is always coffee; 250ml from pour over. This is the same every day.
12/3/2024 8:41:58,ğŸ³ I prepare/cook something (includes night before),"Oh man, so many variables! Clarifying statements and questions on the above:
1. I will cook a breakfast just for my partner as often, (if not more so), as cooking for the both of us. I like cooking breakfast, but don't always feel like eating until 10 or 11a.
2. My partner will also often bake things on the weekend to serve as breakfast supplements during the week days; Apple cake, muffins, home-made granola, etc. Not sure if this counts
3.Do smoothies count as cooking? They definitely take a respectable amount of work and make some dishes.
4. How about breakfasts with one quick component and one cooked element? For example, half a grapefruit as-is, plus a vegetarian sausage patty that is cooked?"
12/3/2024 9:58:36,ğŸ³ I prepare/cook something (includes night before),"Chia seed pudding with strawberries and I have eaten this for about 2-3 years now and I honestly hate it. I struggle to make anything morning of, especially if I have to go into the office. Breakfast is probably one of my most bought out meals. Definitely an important meal to have, I just need something to kick start my brain. "
12/3/2024 10:31:28,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 12:04:04,ğŸ³ I prepare/cook something (includes night before),"Starting your day with protein is really good for people with depression to help you get the long stable energy for the day. I do a breakfast sandwich with 2 eggs, 2 sausage patties, sharp cheddar, on a grainy bread."
12/3/2024 12:04:07,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Usually some oatmeal and a protein shake. Cup of coffee as soon as I get into work
12/3/2024 12:04:09,â˜•ï¸ Nothing / just coffee,Intermittent fasting bby
12/3/2024 12:04:21,ğŸ³ I prepare/cook something (includes night before),"2 hard boiled eggs, toast, 1 avocado, 1 strip of bacon, 2 cups of coffee.  That keeps me fueled until dinner."
12/3/2024 12:04:22,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:06:07,ğŸ’° I buy breakfast,
12/3/2024 12:06:30,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",yogurt and granola
12/3/2024 12:06:53,â˜•ï¸ Nothing / just coffee,"I often don't ""break fast' until after 1pm on lunch time because of some health issues that are worse in the morning. I also don't drink coffee. My morning beverages tend to be something sweet--tea, a doctor pepper, sprite."
12/3/2024 12:08:24,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:09:02,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:09:40,ğŸ³ I prepare/cook something (includes night before),I'm very proud of the cracked wheat/cracked oats cereal I mil at home.
12/3/2024 12:09:58,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:11:32,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:11:49,â˜•ï¸ Nothing / just coffee,I love breakfast its just I work early so I donâ€™t really have the time to make/get something. On my off days I spend time making a full breakfast 
12/3/2024 12:12:08,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:12:46,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","Quick/easy(cereal or granola bar)on work days, cook(pancakes, omelette)on days off. Once a week, scone and latte from gimme. "
12/3/2024 12:13:02,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:14:52,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:18:38,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:18:43,â˜•ï¸ Nothing / just coffee,Used to eat cereal every day 
12/3/2024 12:22:27,ğŸ’° I buy breakfast,
12/3/2024 12:22:29,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","Microwave oatmeal in the winter, cereal in the summer"
12/3/2024 12:22:48,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:22:59,â˜•ï¸ Nothing / just coffee,Canâ€™t bring myself to eat anything before at least noon lol I just donâ€™t get hungry. Always been that way.
12/3/2024 12:24:12,ğŸ’° I buy breakfast,"While I was in school I prepared/cooked something, or at least had something minimal prep every day for breakfast. Now that I've started my new job I haven't had time to do that, so I buy but I can see it adding up and want to find a meal-prep plan to help make it less expensive."
12/3/2024 12:25:03,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 12:25:28,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:25:56,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:26:10,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 12:26:30,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:27:03,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Buy breakfast every day? In this economy???
12/3/2024 12:27:41,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","Oatmeal with a slice cheese melted on top, soy milk"
12/3/2024 12:28:56,â˜•ï¸ Nothing / just coffee,"Breakfast was always my fave meal of the day but since starting a weight loss journey I just drink tea w milk every morning and that's it. Ideally, I'd LOVE to buy breakfast every day but there are not much for vegan options (especially healthier or grab & go things) in Ithaca. I don't want Angelhearts deep-fried junk food first thing in the morning ğŸ¥²"
12/3/2024 12:30:58,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 12:31:00,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:31:38,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Oatmeal with fruit 
12/3/2024 12:32:02,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 12:32:19,ğŸ³ I prepare/cook something (includes night before),I am anti-sugary breakfast. I really feel like I need something substantial with more protein to get me going in the morning.  
12/3/2024 12:33:11,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:34:46,ğŸ³ I prepare/cook something (includes night before),Overnight oats!
12/3/2024 12:35:19,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",quick oats!
12/3/2024 12:37:04,ğŸ³ I prepare/cook something (includes night before),"Every morning: one egg, fried; two pieces of toast, and pot of tea. If it's an athletic day (big bike ride, hike) then it's two eggs. Pancakes sometimes. Homemade granola subbing for toast if I'm out of bread. Never skip breakfast, EVER - a path to misery for me. I'd rather skip lunch than breakfast. "
12/3/2024 12:37:19,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 12:40:00,ğŸ³ I prepare/cook something (includes night before),BEC
12/3/2024 12:41:03,â˜•ï¸ Nothing / just coffee,love breakfast foods but rarely eat in mornings but ALWAYS cook myself dinner
12/3/2024 12:41:30,â˜•ï¸ Nothing / just coffee,Breakfast is not a consistent meal everyday for me. Sometimes it's a turkey sandwich or dinner leftovers. Sometimes it's just toast.
12/3/2024 12:41:32,ğŸ³ I prepare/cook something (includes night before),"Start your day with as basic a whole grain as possible (brown rice, oatmeal, etc.) and you won't regret it when your guts are old!"
12/3/2024 12:43:50,ğŸ’° I buy breakfast,
12/3/2024 12:43:58,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:44:13,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","I drink smoothies,  ensure, chobani, chatty cathy! (Best smoothies in ithaca is chatty Cathy) "
12/3/2024 12:45:13,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Hard boiled eggs in a little $30 egg maker is a game changer
12/3/2024 12:46:26,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:48:42,ğŸ³ I prepare/cook something (includes night before),"Generally I will microwave eggs with something (pico, salsa, chopped veg if time) mixed in. Lately it travels to work with me. Sometimes I microwave oatmeal. Sometimes it's leftovers from last night's dinner. "
12/3/2024 12:50:07,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)","Granola bar- will almost never have breakfast on the weekends, more sleep is always worth it"
12/3/2024 12:50:29,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:50:39,ğŸ³ I prepare/cook something (includes night before),"Always savory, usually eggs. The best breakfast is when I have leftover roasted veggies from the dinner before, and a fried egg or two goes on top. Sometimes I plan my dinner just to have leftovers for breakfast. "
12/3/2024 12:51:30,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:52:30,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:53:57,â˜•ï¸ Nothing / just coffee,
12/3/2024 12:54:03,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Cold cereal or microwave oatmeal 
12/3/2024 12:54:04,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 12:54:19,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Lightly buttered toasted english muffin with peanut butter
12/3/2024 12:55:45,ğŸ³ I prepare/cook something (includes night before),"avocado toast, breakfast sandwich, oatmeal (winter), hummus toast, yogurt, or smoothie"
12/3/2024 13:01:00,ğŸ³ I prepare/cook something (includes night before),"- egg tacos 
- overnight chia pudding with cinnamon 
- oatmeal

Breakfast is important, however I sometimes struggle to prioritize it. "
12/3/2024 13:04:57,â˜•ï¸ Nothing / just coffee,
12/3/2024 13:05:42,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 13:05:52,ğŸ³ I prepare/cook something (includes night before),"I get the ick from eggs a LOT. So I go through breakfast phases. When I like eggs itâ€™s usually scrambled or over easy eggs with white rice (or toast) and turkey sausage, when I have the ick from eggs itâ€™s usually a smoothie, overnight oats, or my homemade granola bars. Been really trying to limit my processed foods except for the turkey sausage bc that shit is tasty. Thatâ€™s all! "
12/3/2024 13:08:03,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 13:08:13,ğŸ³ I prepare/cook something (includes night before),"Usually 2or3 over easy eggs, ww toast, some sort of greasy meat. Of course always have to have coffee"
12/3/2024 13:08:23,ğŸ³ I prepare/cook something (includes night before),"fried egg, melted cheese on top w/ veggie sausage patty on a slice of toast"
12/3/2024 13:09:21,ğŸ³ I prepare/cook something (includes night before),"Same breakfast during weekdays, a bit more creative on weekends "
12/3/2024 13:10:14,â˜•ï¸ Nothing / just coffee,
12/3/2024 13:13:30,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 13:13:52,ğŸ³ I prepare/cook something (includes night before),I have a protein shake when I first wake up and then cook a breakfast sandwich about an hour after I finish my shake. I cannot start my day if I have not had both my shake and sandwich.
12/3/2024 13:14:33,ğŸ³ I prepare/cook something (includes night before),"always have breakfast (especially if Iâ€™m having coffee) because otherwise Iâ€™m sluggish and it screws up your gut to drink coffee on an empty stomach! I have eggs most days, with fruit/bread/etc. if Iâ€™m in a rush I have Greek yogurt"
12/3/2024 13:14:41,ğŸ³ I prepare/cook something (includes night before),
12/3/2024 13:15:17,ğŸ³ I prepare/cook something (includes night before),"Since having my baby, my go-to breakfast is coffee and an egg sandwich - I cook the egg on the Dash waffle maker and put it on a mini everything bagel with mayo and hot sauce. Before that, I commuted to work and ate a yogurt cup at my desk. Sometimes I'll have savory oatmeal with an egg, cheese, green onions, olive oil, and salt. "
12/3/2024 13:15:44,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 13:16:31,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 13:19:38,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",go to is either PBJ or granola bar w yogurt ^_^
12/3/2024 13:20:09,ğŸ³ I prepare/cook something (includes night before),"i'm counting a smoothie of banana, greens, almond butter, flax and misc other fruits as ""preparing something"". and i quit coffee cold-turkey a few weeks ago!! for various collapse-related reasons (yes hi it's me)"
12/3/2024 13:20:39,â˜•ï¸ Nothing / just coffee,I would eat breakfast more if it were socially acceptable to eat lunch/dinner foods in the morning
12/3/2024 13:21:07,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 13:22:07,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 13:25:38,ğŸ³ I prepare/cook something (includes night before),"Best version of myself drinks an espresso w an unflavored seltzer. Two eggs over easy and a protein shake. Maybe a handful of blueberries. I usually end up with just the espresso and eggs, but I very rarely skip. "
12/3/2024 13:26:18,ğŸ³ I prepare/cook something (includes night before),"My breakfast used to be a cigarette and a coffee but I gave up tobacco 4.5 years ago (thanks, Covid!). Now I find I'm sluggish and unfocused until I eat lunch if I skip my usual two fried eggs topped with feta and piece of fruit and only have the coffee. I couldn't tell you what it's like without even the coffee, not sure I'd make it out the house."
12/3/2024 13:31:12,â˜•ï¸ Nothing / just coffee,"I love breakfast, and when I was working full time, I did eat it, but since quitting my job and starting vet school, everything has been chaotic and I haven't been eating breakfast much. Sometimes a snack. I need to get into the breakfast meal prep so I'm not so hungry during classes/labs"
12/3/2024 13:34:23,ğŸ³ I prepare/cook something (includes night before),"French press coffee and salt rising bread, toasted with butter. Is that cooking? Idk. Feels like it to me"
12/3/2024 13:35:19,â˜•ï¸ Nothing / just coffee,
12/3/2024 13:36:53,ğŸ³ I prepare/cook something (includes night before),"Every morning I eat a bowl of oatmeal with peanut butter, ground flax, almonds, and banana"
12/3/2024 13:38:04,ğŸ³ I prepare/cook something (includes night before),I cook eggs and toast most mornings!
12/3/2024 13:38:12,â˜•ï¸ Nothing / just coffee,I feel like I donâ€™t have time to have breakfast in the mornings 
12/3/2024 13:42:33,â˜•ï¸ Nothing / just coffee,
12/3/2024 13:46:00,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 13:47:05,â˜•ï¸ Nothing / just coffee,"Breakfasts for me are reserved for waking up late days, like a big waffle spread on a random weekend. Breakfast food is the best kind of food, anytime of the day! I like it for dinner. Idk about it being the most important meal, cause I'm a bad case study there lol :) "
12/3/2024 13:48:34,ğŸ³ I prepare/cook something (includes night before),Twice a week I treat myself to breakfast out normally Ithaca coffee (rooster sandwich ftw) or Adamâ€™s corner cafe. I used to buy breakfast more until I started par baking potatoes and now Iâ€™m able to have homemade home fries + eggs and tea within 10-15min
12/3/2024 13:50:25,ğŸ³ I prepare/cook something (includes night before),Yogurt w/fruit and nuts OR smoothie for warm weather. Oatmeal or toast for cold weather. Eggs/pancakes for weekends (this is not seasonal weirdly)
12/3/2024 13:58:44,ğŸ³ I prepare/cook something (includes night before),Rolled oats or eggs and bacon
12/3/2024 13:59:58,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 14:06:59,"ğŸŒ Something quick / minimal prep (granola bar, microwave a thing)",Toast w butter and cheese
12/3/2024 14:09:21,â˜•ï¸ Nothing / just coffee,
12/3/2024 14:10:00,â˜•ï¸ Nothing / just coffee,
12/3/2024 14:10:40,â˜•ï¸ Nothing / just coffee,
